City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,shagonar,51.5333,92.8,246.71,86,10,0.44,RU,1674367155
84,silver city,32.7701,-108.2803,271.86,70,0,3.6,US,1674367155
85,champerico,14.3,-91.9167,297.8,75,2,4.17,GT,1674367155
86,udachnyy,66.4167,112.4,235.7,97,100,1.12,RU,1674367156
87,saldanha,-33.0117,17.9442,293.18,86,70,3.85,ZA,1674367156
88,kurumoch,53.4896,50.0375,260.58,78,0,4.02,RU,1674367156
89,xihe,31.6864,113.4659,284.49,43,27,3.76,CN,1674367156
90,upernavik,72.7868,-56.1549,240.16,76,57,3.45,GL,1674367157
91,mahebourg,-20.4081,57.7,301.07,83,40,4.63,MU,1674367157
92,doha,25.2867,51.5333,292.14,72,20,2.06,QA,1674366961
93,shitanjing,39.2342,106.3439,266.54,33,39,11.14,CN,1674367157
94,mahibadhoo,3.7833,72.9667,299.98,73,62,6.31,MV,1674367157
95,yellowknife,62.456,-114.3525,263.46,92,100,3.6,CA,1674367157
96,klaksvik,62.2266,-6.589,281.66,85,100,13.02,FO,1674367157
97,wanning,18.8003,110.3967,297.74,75,96,2.94,CN,1674367158
98,san patricio,28.017,-97.5169,288.62,90,2,2.14,US,1674367158
99,iqaluit,63.7506,-68.5145,261.0,84,100,2.57,CA,1674367158
100,mayya,61.7333,130.2811,228.88,98,99,1.61,RU,1674367158
101,sangar,63.9242,127.4739,229.03,94,100,1.55,RU,1674367159
102,ancud,-41.8697,-73.8203,287.98,97,96,2.0,CL,1674367159
103,kentau,43.5206,68.5094,271.0,59,0,4.77,KZ,1674367159
104,qaanaaq,77.484,-69.3632,238.24,63,45,2.98,GL,1674367159
105,acarau,-2.8856,-40.12,297.94,85,72,3.45,BR,1674367159
106,torbay,47.6666,-52.7314,273.57,97,100,12.86,CA,1674367159
107,okhotsk,59.3833,143.3,251.2,78,100,5.48,RU,1674366876
108,bluff,-46.6,168.3333,286.94,71,69,4.71,NZ,1674367160
109,nanortalik,60.1432,-45.2371,262.45,61,2,5.21,GL,1674367160
110,the valley,18.217,-63.0578,298.2,74,0,7.81,AI,1674367160
111,port macquarie,-31.4333,152.9167,294.2,74,72,3.0,AU,1674366946
112,konevo,62.1215,39.3192,265.49,97,100,0.77,RU,1674367161
113,miri,4.4148,114.0089,303.23,74,40,1.54,MY,1674367161
114,naze,28.3667,129.4833,289.66,73,100,8.45,JP,1674367086
115,hilo,19.7297,-155.09,297.75,88,0,0.89,US,1674367161
116,eydhafushi,5.1033,73.0708,299.71,71,74,6.26,MV,1674367162
117,kodiak,57.79,-152.4072,270.11,81,100,2.95,US,1674367162
118,ayan,56.45,138.1667,244.45,72,100,6.43,RU,1674367162
119,hualmay,-11.0964,-77.6139,294.14,81,93,2.44,PE,1674367162
120,avarua,-21.2078,-159.775,298.18,83,98,0.51,CK,1674367162
121,severo-kurilsk,50.6789,156.125,266.57,88,100,6.15,RU,1674367162
122,charlestown,-32.95,151.6667,295.78,80,97,0.89,AU,1674367162
123,saskylakh,71.9167,114.0833,236.09,91,99,1.37,RU,1674367163
